"","Papers","Partners","Journals","Citations","Years"
"153","Single-molecule spectroscopy reveals photosynthetic LH2 complexes switch between emissive states","GS Schlau-Cohen, Q Wang, J Southall, RJ Cogdell, WE Moerner","Proceedings of the National Academy of Sciences 110 (27), 10899-10903, 2013","59","2013"
"154","The anti-Brownian electrophoretic trap (ABEL trap): fabrication and software","AE Cohen, WE Moerner","Imaging, Manipulation, and Analysis of Biomolecules and Cells: Fundamentals …, 2005","59","2005"
"155","Redox cycling and kinetic analysis of single molecules of solution-phase nitrite reductase","RH Goldsmith, LC Tabares, D Kostrz, C Dennison, TJ Aartsma, ...","Proceedings of the National Academy of Sciences 108 (42), 17269-17274, 2011","58","2011"
"156","Optical properties of poly (N-vinylcarbazole)-based guest-host photorefractive polymer systems","SM Silence, M Donckers, CA Walsh, DM Burland, RJ Twieg, WE Moerner","Applied optics 33 (11), 2218-2222, 1994","58","1994"
"157","Probing single biomolecules in solution using the anti-Brownian electrokinetic (ABEL) trap","Q Wang, RH Goldsmith, Y Jiang, SD Bockenhauer, WE Moerner","Accounts of chemical research 45 (11), 1955-1964, 2012","57","2012"
"158","Dispersed fluorescence spectra of single molecules of pentacene in p-terphenyl","P Tchenio, AB Myers, WE Moerner","The Journal of Physical Chemistry 97 (11), 2491-2493, 1993","57","1993"
"159","Single-molecule identification of quenched and unquenched states of LHCII","GS Schlau-Cohen, HY Yang, TPJ Kru¨ger, P Xu, M Gwizdala, ...","The journal of physical chemistry letters 6 (5), 860-867, 2015","56","2015"
"160","The double-helix microscope super-resolves extended biological structures by localizing single blinking molecules in three dimensions with nanoscale precision","HD Lee, SJ Sahl, MD Lew, WE Moerner","Applied physics letters 100 (15), 153701, 2012","56","2012"
"161","Single-molecule and superresolution imaging in live bacteria cells","JS Biteen, WE Moerner","Cold Spring Harbor perspectives in biology 2 (3), a000448, 2010","56","2010"
"162","Diffusion of lipid-like single-molecule fluorophores in the cell membrane","SY Nishimura, SJ Lord, LO Klein, KA Willets, M He, Z Lu, RJ Twieg, ...","The Journal of Physical Chemistry B 110 (15), 8151-8157, 2006","56","2006"
"163","Electric-field-switchable stratified volume holograms in photorefractive polymers","JJ Stankus, SM Silence, WE Moerner, GC Bjorklund","Optics letters 19 (18), 1480-1482, 1994","56","1994"
"164","Second-order cascading as the origin of large third-order effects in organic single-crystal-core fibers","DY Kim, WE Torruellas, J Kang, C Bosshard, GI Stegeman, P Vidakovic, ...","Optics letters 19 (12), 868-870, 1994","55","1994"
"165","Gated spectral hole-burning for frequency domain optical recording","W Lenth, WE Moerner","Optics communications 58 (4), 249-254, 1986","55","1986"
"166","Single-molecule imaging of Hedgehog pathway protein Smoothened in primary cilia reveals binding events regulated by Patched1","L Milenkovic, LE Weiss, J Yoon, TL Roth, YRS Su, SJ Sahl, MP Scott, ...","Proceedings of the National Academy of Sciences 112 (27), 8320-8325, 2015","54","2015"
"167","Molecules and methods for super-resolution imaging","MA Thompson, JS Biteen, SJ Lord, NR Conley, WE Moerner","Methods in enzymology 475, 27-59, 2010","54","2010"
"168","Synthesis of fluorescently labeled polymers and their use in single-molecule imaging","NB Bowden, KA Willets, WE Moerner, RM Waymouth","Macromolecules 35 (21), 8122-8125, 2002","54","2002"
"169","Optical methods for exploring dynamics of single copies of green fluorescent protein","WE Moerner, EJG Peterman, S Brasselet, S Kummer, RM Dickson","Cytometry: The Journal of the International Society for Analytical Cytology …, 1999","54","1999"
"170","FM spectroscopy detection of stimulated Raman gain","MD Levenson, WE Moerner, DE Horne","Optics letters 8 (2), 108-110, 1983","54","1983"
"171","Monolithic photorefractive organic glasses with large coupling gain and strong beam fanning","U Gubler, M He, D Wright, Y Roh, R Twieg, WE Moerner","Advanced Materials 14 (4), 313-317, 2002","53","2002"
"172","Optical trap activation in a photorefractive polymer","SM Silence, GC Bjorklund, WE Moerner","Optics letters 19 (22), 1822-1824, 1994","53","1994"
"173","High-performance photorefractive organic glass with near-infrared sensitivity","O Ostroverkhova, WE Moerner, M He, RJ Twieg","Applied physics letters 82 (21), 3602-3604, 2003","52","2003"
"174","Role of temperature in controlling performance of photorefractive organic glasses","O Ostroverkhova, M He, RJ Twieg, WE Moerner","ChemPhysChem 4 (7), 732-744, 2003","51","2003"
"175","The influence of tetrahydroquinoline rings in dicyanomethylenedihydrofuran (DCDHF) single-molecule fluorophores","H Wang, Z Lu, SJ Lord, KA Willets, JA Bertke, SD Bunge, WE Moerner, ...","Tetrahedron 63 (1), 103-114, 2007","50","2007"
"176","Correlations of three-dimensional motion of chromosomal loci in yeast revealed by the double-helix point spread function microscope","MP Backlund, R Joyner, K Weis, WE Moerner","Molecular biology of the cell 25 (22), 3619-3629, 2014","49","2014"
"177","Single-molecule nanoprobes explore defects in spin-grown crystals","CA Werley, WE Moerner","The Journal of Physical Chemistry B 110 (38), 18939-18944, 2006","48","2006"
"178","3D single-molecule super-resolution microscopy with a tilted light sheet","AK Gustavsson, PN Petrov, MY Lee, Y Shechtman, WE Moerner","Nature communications 9 (1), 123, 2018","47","2018"
"179","Correcting field-dependent aberrations with nanoscale accuracy in three-dimensional single-molecule localization microscopy","A von Diezmann, MY Lee, MD Lew, WE Moerner","Optica 2 (11), 985-993, 2015","47","2015"
"180","Enzymatic activation of nitro-aryl fluorogens in live bacterial cells for enzymatic turnover-activated localization microscopy","MK Lee, J Williams, RJ Twieg, J Rao, WE Moerner","Chemical science 4 (1), 220-225, 2013","47","2013"
"181","Sub-Diffraction Imaging of Huntingtin Protein Aggregates by Fluorescence Blink-Microscopy and Atomic Force Microscopy","WC Duim, B Chen, J Frydman, WE Moerner","ChemPhysChem 12 (13), 2387-2390, 2011","47","2011"
"182","Synthesis of bifunctional photorefractive polymers with net gain: design strategy amenable to combinatorial optimization","MS Bratcher, MS DeClue, A Grunnet-Jepsen, D Wright, BR Smith, ...","Journal of the American Chemical Society 120 (37), 9680-9681, 1998","47","1998"
"183","Quasinondestructive readout in a photorefractive polymer","SM Silence, RJ Twieg, GC Bjorklund, WE Moerner","Physical review letters 73 (15), 2047, 1994","47","1994"
"184","Nobel Lecture: Single-molecule spectroscopy, imaging, and photocontrol: Foundations for super-resolution microscopy","WE Moerner","Reviews of Modern Physics 87, 1183-1212, 2015","46","2015"
"185","Single-molecule orientation measurements with a quadrated pupil","AS Backer, MP Backlund, MD Lew, WE Moerner","Optics letters 38 (9), 1521-1523, 2013","46","2013"
"186","Fluorescence correlation spectroscopy at high concentrations using gold bowtie nanoantennas","AA Kinkhabwala, Z Yu, S Fan, WE Moerner","Chemical Physics 406, 3-8, 2012","46","2012"
"187","Optimal strategy for trapping single fluorescent molecules in solution using the ABEL trap","Q Wang, WE Moerner","Applied Physics B 99 (1-2), 23-30, 2010","46","2010"
"188","Internal mechanical response of a polymer in solution","AE Cohen, WE Moerner","Physical review letters 98 (11), 116001, 2007","46","2007"
"189","Apparatuses and methods for three-dimensional imaging of an object","Y SHECHTMAN, WE Moerner, L Weiss, SJ Sahl","US Patent 10,187,626, 2019","45","2019"
"190","Enhanced DNA imaging using super-resolution microscopy and simultaneous single-molecule orientation measurements","AS Backer, MY Lee, WE Moerner","Optica 3 (6), 659-666, 2016","45","2016"
"191","Physics and chemistry at low temperatures","L Khriachtchev","Pan Stanford, 2011","45*","2011"
"192","Self-trapping of light in an organic photorefractive glass","Z Chen, M Asaro, O Ostroverkhova, WE Moerner, M He, RJ Twieg","Optics letters 28 (24), 2509-2511, 2003","45","2003"
"193","Interferometry of a single nanoparticle using the Gouy phase of a focused laser beam","J Hwang, WE Moerner","Optics Communications 280 (2), 487-491, 2007","44","2007"
"194","A bisected pupil for studying single-molecule orientational dynamics and its application to three-dimensional super-resolution microscopy","AS Backer, MP Backlund, AR von Diezmann, SJ Sahl, WE Moerner","Applied physics letters 104 (19), 193701, 2014","43","2014"
"195","Well-controlled living polymerization of perylene-labeled polyisoprenes and their use in single-molecule imaging","GT Gavranovic, S Csihony, NB Bowden, CJ Hawker, RM Waymouth, ...","Macromolecules 39 (23), 8121-8127, 2006","43","2006"
"196","Enhancement of the fluorescence of the blue fluorescent proteins by high pressure or low temperature","K Mauring, J Deich, FI Rosell, TB McAnaney, WE Moerner, SG Boxer","The journal of physical chemistry B 109 (26), 12976-12981, 2005","43","2005"
"197","Single-molecule spectroscopy and imaging over the decades","WE Moerner, Y Shechtman, Q Wang","Faraday discussions 184, 9-36, 2015","42","2015"
"198","Lifetime and spectrally resolved characterization of the photodynamics of single fluorophores in solution using the anti-Brownian electrokinetic trap","Q Wang, WE Moerner","The Journal of Physical Chemistry B 117 (16), 4641-4648, 2012","42","2012"
"199","Bright, red single-molecule emitters: synthesis and properties of environmentally sensitive dicyanomethylenedihydrofuran (DCDHF) fluorophores with bisaromatic conjugation","Z Lu, N Liu, SJ Lord, SD Bunge, WE Moerner, RJ Twieg","Chemistry of Materials 21 (5), 797-810, 2009","42","2009"
"200","Temperature dependence of photon-gated persistent spectral hole-burning for the meso-tetra-p-tolyl-Zn-tetrabenzoporphyrin/chloroform system in poly (methylmethacrylate)","WP Ambrose, WE Moerner","Chemical Physics 144 (1), 71-79, 1990","40","1990"
"201","Soliton-induced waveguides in an organic photorefractive glass","M Asaro, M Sheldon, Z Chen, O Ostroverkhova, WE Moerner","Optics letters 30 (5), 519-521, 2005","39","2005"
"202","Fluorescent saxitoxins for live cell imaging of single voltage-gated sodium ion channels beyond the optical diffraction limit","AE Ondrus, DL Hsiao-lu, S Iwanaga, WH Parsons, BM Andresen, ...","Chemistry & biology 19 (7), 902-912, 2012","38","2012"
"203","Cby1 promotes Ahi1 recruitment to a ring-shaped domain at the centriole–cilium interface and facilitates proper cilium formation and function","YL Lee, J Santé, CJ Comerci, B Cyge, LF Menezes, FQ Li, GG Germino, ...","Molecular biology of the cell 25 (19), 2919-2933, 2014","37","2014"
"204","Photon-gated spectral hole burning by donor-acceptor electron transfer","TP Carter, C Bräuchle, VY Lee, M Manavi, WE Moerner","Optics letters 12 (5), 370-372, 1987","37","1987"
"205","Photochemical hole-burning in a protonated phthalocyanine with GaAlAs diode lasers","HWH Lee, AL Huston, M Gehrtz, WE Moerner","Chemical physics letters 114 (5-6), 491-496, 1985","37","1985"
"206","Probing the sequence of conformationally induced polarity changes in the molecular chaperonin GroEL with fluorescence spectroscopy","SY Kim, AN Semyonov, RJ Twieg, AL Horwich, J Frydman, WE Moerner","The Journal of Physical Chemistry B 109 (51), 24517-24525, 2005","36","2005"
"207","Synthesis and photorefractive properties of multifunctional glasses","M He, RJ Twieg, U Gubler, D Wright, WE Moerner","Chemistry of materials 15 (5), 1156-1164, 2003","36","2003"
"208","Photorefractivity in doped nonlinear organic polymers","WE Moerner, CA Walsh, JC Scott, SP Ducharme, DM Burland, ...","Nonlinear Optical Properties of Organic Materials IV 1560, 278-289, 1991","36","1991"
"209","Easy-DHPSF open-source software for three-dimensional localization of single molecules with precision beyond the optical diffraction limit","MD Lew, ARS von Diezmann, WE Moerner","Protocol exchange 2013, 2013","35","2013"
"210","Lithographic positioning of fluorescent molecules on high- photonic crystal cavities","K Rivoire, A Kinkhabwala, F Hatami, WT Masselink, Y Avlasevich, ...","Applied Physics Letters 95 (12), 123113, 2009","35","2009"
"211","Scanning interferometric microscopy for the detection of ultrasmall phase shifts in condensed matter","J Hwang, MM Fejer, WE Moerner","Physical Review A 73 (2), 021802, 2006","35","2006"
"212","Photorefractive properties of poly (siloxane)-triarylamine-based composites for high-speed applications","D Wright, U Gubler, WE Moerner, MS DeClue, JS Siegel","The Journal of Physical Chemistry B 107 (20), 4732-4737, 2003","35","2003"
"213","Measurement of the spatial phase shift in high-gain photorefractive materials","A Grunnet-Jepsen, CL Thompson, WE Moerner","Optics letters 22 (12), 874-876, 1997","35","1997"
"214","Statistical fine structure in the inhomogeneously broadened electronic origin of pentacene in p-terphenyl","TP Carter, M Manavi, WE Moerner","The Journal of chemical physics 89 (4), 1768-1779, 1988","35","1988"
"215","Super-resolution imaging of live bacteria cells using a genetically directed, highly photostable fluoromodule","S Saurabh, AM Perez, CJ Comerci, L Shapiro, WE Moerner","Journal of the American Chemical Society 138 (33), 10398-10401, 2016","34","2016"
"216","Chromosomal locus tracking with proper accounting of static and dynamic errors","MP Backlund, R Joyner, WE Moerner","Physical Review E 91 (6), 062716, 2015","34","2015"
"217","Fast burning of persistent spectral holes in small laser spots using photon-gated materials","WE Moerner, TP Carter, C Bräuchle","Applied physics letters 50 (8), 430-432, 1987","34","1987"
"218","A novel fluorophore for two-photon-excited single-molecule fluorescence","PJ Schuck, KA Willets, DP Fromm, RJ Twieg, WE Moerner","Chemical physics 318 (1-2), 7-11, 2005","33","2005"
"219","Super-resolution fluorescence of huntingtin reveals growth of globular species into short fibers and coexistence of distinct aggregates","WC Duim, Y Jiang, K Shen, J Frydman, WE Moerner","ACS chemical biology 9 (12), 2767-2778, 2014","32","2014"
"220","Azimuthal polarization filtering for accurate, precise, and robust single-molecule localization microscopy","MD Lew, WE Moerner","Nano letters 14 (11), 6407-6413, 2014","32","2014"
"221","Bulk and single-molecule characterization of an improved molecular beacon utilizing H-dimer excitonic behavior","NR Conley, AK Pomerantz, H Wang, RJ Twieg, WE Moerner","The Journal of Physical Chemistry B 111 (28), 7929-7931, 2007","32","2007"
"222","Photorefractivity in new organic polymeric materials","C Poga, DM Burland, T Hanemann, Y Jia, CR Moylan, JJ Stankus, ...","Xerographic Photoreceptors and Photorefractive Polymers 2526, 82-93, 1995","32","1995"
"223","Single-molecule tracking","M Vrljic, SY Nishimura, WE Moerner","Lipid Rafts, 193-219, 2007","30","2007"
"224","Reading and writing of photochemical holes using GaAlAs-diode lasers","P Pokrowsky, WE Moerner, F Chu, GC Bjorklund","Optics letters 8 (5), 280-282, 1983","30","1983"
"225","Modifications of DCDHF single molecule fluorophores to impart water solubility","H Wang, Z Lu, SJ Lord, WE Moerner, RJ Twieg","Tetrahedron letters 48 (19), 3471-3474, 2007","29","2007"
"226","Three-dimensional single-molecule fluorescence imaging beyond the diffraction limit using a double-helix point spread function","R Piestun, SRP Pavani, MA Thompson, JS Biteen, WE Moerner","US Patent 8,693,742, 2014","28*","2014"
"227","Optical measurements of single molecules in cells","WE Moerner","TrAC Trends in Analytical Chemistry 22 (8), 544-548, 2003","28","2003"
"228","Photon-gated persistent spectral hole-burning","WE Moerner","Japanese journal of applied physics 28 (S3), 221, 1989","28","1989"
"229","The regulatory switch of F1-ATPase studied by single-molecule FRET in the ABEL Trap","SD Bockenhauer, TM Duncan, WE Moerner, M Börsch","Single Molecule Spectroscopy and Superresolution Imaging VII 8950, 89500H, 2014","27","2014"
"230","In vivo three-dimensional superresolution fluorescence tracking using a double-helix point spread function","MD Lew, MA Thompson, M Badieirostami, WE Moerner","Single Molecule Spectroscopy and Imaging III 7571, 75710Z, 2010","27","2010"
"231","Single-molecule spectroscopy and quantum optics in solids","WE Moerner, RM Dickson, DJ Norris","Advances in Atomic, Molecular, and Optical Physics 38, 193-236, 1998","27","1998"
"232","Hardware-based anti-Brownian electrokinetic trap (ABEL trap) for single molecules: control loop simulations and application to ATP binding stoichiometry in multi-subunit enzymes","Y Jiang, Q Wang, AE Cohen, N Douglas, J Frydman, WE Moerner","Optical Trapping and Optical Micromanipulation V 7038, 703807, 2008","26","2008"
"233","Persistent spectral hole burning for R’color centers in LiF crystals: Statics, dynamics, and external-field effects","WE Moerner, P Pokrowsky, FM Schellenberg, GC Bjorklund","Physical Review B 33 (8), 5702, 1986","26","1986"
"234","Action of the chaperonin GroEL/ES on a non-native substrate observed with single-molecule FRET","SY Kim, EJ Miller, J Frydman, WE Moerner","Journal of molecular biology 401 (4), 553-563, 2010","25","2010"
"235","Photoconduction and photorefraction in molecularly doped polymers","JC Scott, LT Pautmeier, WE Moerner","Synthetic metals 54 (1-3), 9-19, 1993","25","1993"
"236","Measurement-based estimation of global pupil functions in 3D localization microscopy","PN Petrov, Y Shechtman, WE Moerner","Optics express 25 (7), 7945-7959, 2017","24","2017"
"237","Persistent holes in the spectra of localized vibrational modes in crystalline solids","WE Moerner, AJ Sievers, RH Silsbee, AR Chraplyvy, DK Lambert","Physical Review Letters 49 (6), 398, 1982","24","1982"
"238","Delayed emergence of subdiffraction-sized mutant huntingtin fibrils following inclusion body formation","SJ Sahl, L Lau, WIM Vonk, LE Weiss, J Frydman, WE Moerner","Quarterly reviews of biophysics 49, 2016","23","2016"
"239","High-efficiency photochemical hole burning for an infrared color center","WE Moerner, FM Schellenberg, GC Bjorklund, P Kaipa, F Lüty","Physical Review B 32 (2), 1270, 1985","23","1985"
"240","Anharmonic vibrational relaxation dynamics for a molecular impurity mode in alkali halide crystals","WE Moerner, AR Chraplyvy, AJ Sievers","Physical Review B 29 (12), 6694, 1984","23","1984"
"241","Spatial organization and dynamics of RNase E and ribosomes in Caulobacter crescentus","CA Bayas, J Wang, MK Lee, JM Schrader, L Shapiro, WE Moerner","Proceedings of the National Academy of Sciences 115 (16), E3712-E3721, 2018","22","2018"
"242","Nonlinear optical properties of photorefractive polymers","SM Silence, F Hache, M Donckers, CA Walsh, DM Burland, GC Bjorklund, ...","Nonlinear Optical Properties of Advanced Materials 1852, 253-265, 1993","22","1993"
"243","Nonlinear optical polymeric waveguide electro-optic phase modulator","JD Swalen, GC Bjorklund, WW Fleming, RY Hung, MC Jurich, VY Lee, ...","Nonlinear Optical Properties of Organic Materials V 1775, 369-378, 1993","22","1993"
"244","An all-glass microfluidic cell for the ABEL trap: fabrication and modeling","AE Cohen, WE Moerner","Optical Trapping and Optical Micromanipulation II 5930, 59300S, 2005","21","2005"
"245","High Speed PVK-Based Photorefractive Polymer Composites","MA Diaz-Garcia, D Wright, JD Casperson, B Smith, E Glazer, WE Moerner, ...","NONLINEAR OPTICS-READING- 25 (1/4), 189-194, 2000","21","2000"
"246","Intracavity frequency doubling of a Nd: YAG laser with an organic nonlinear optical crystal","S Ducharme, WP Risk, WE Moerner, VY Lee, RJ Twieg, GC Bjorklund","Applied Physics Letters 57 (6), 537-539, 1990","21","1990"
"247","Detection of persistent spectral holes using ultrasonic modulation","AL Huston, WE Moerner","JOSA B 1 (3), 349-353, 1984","21","1984"
"248","Dissecting pigment architecture of individual photosynthetic antenna complexes in solution","Q Wang, WE Moerner","Proceedings of the National Academy of Sciences 112 (45), 13880-13885, 2015","20","2015"
"249","Electric field-dependent nonphotorefractive gratings in a nonlinear photoconducting polymer","SM Silence, M Donckers, CA Walsh, DM Burland, WE Moerner, RJ Twieg","Applied physics letters 64 (6), 712-714, 1994","20","1994"
"250","Frequency domain optical storage and other applications of persistent spectral hole-burning","WE Moerner, W Lenth, GC Bjorklund","Persistent Spectral Hole-Burning: Science and Applications, 251-307, 1988","20*","1988"
"251","Photochemical Hole-Burning at GaAlAs Laser Wavelengths","WE Moerner, FM Schellenberg, GC Bjorklund","APPLIED PHYSICS B-PHOTOPHYSICS AND LASER CHEMISTRY 28 (2-3), 263-264, 1982","20","1982"
"252","Photo-induced conformational flexibility in single solution-phase peridinin-chlorophyll-proteins","SD Bockenhauer, WE Moerner","The Journal of Physical Chemistry A 117 (35), 8399-8406, 2013","19","2013"
"253","Widespread mRNA association with cytoskeletal motor proteins and identification and dynamics of myosin-associated mRNAs in S. cerevisiae","JM Casolari, MA Thompson, J Salzman, LM Champion, WE Moerner, ...","PLoS One 7 (2), e31912, 2012","19","2012"
"254","Pseudo-Stark effect and FM/Stark double-modulation spectroscopy for the detection of statistical fine structure in alexandrite","TP Carter, DE Horne, WE Moerner","Chemical physics letters 151 (1-2), 102-108, 1988","19","1988"
"255","Fluorophore compounds and their use in biological systems","W Moerner, R Twieg, D Kline, M He","US Patent App. 10/604,282, 2005","18","2005"
"256","Fundamentals of single-molecule spectroscopy in solids","WE Moerner","Journal of luminescence 60, 997-1002, 1994","18","1994"
"257","Vivronic spectroscopy of single molecules: Exploring electronic-vibrational frequency correlations within an inhomogeneous distribution","AB Myers, P Tchénio, WE Moerner","Journal of luminescence 58 (1-6), 161-167, 1994","18","1994"
"258","Single-molecule optical spectroscopy and imaging: from early steps to recent advances","WE Moerner","Single Molecule Spectroscopy in Chemistry, Physics and Biology, 25-60, 2010","17","2010"
"259","Superresolution imaging in live Caulobacter crescentus cells using photoswitchable enhanced yellow fluorescent protein","JS Biteen, MA Thompson, NK Tselentis, L Shapiro, WE Moerner","Single Molecule Spectroscopy and Imaging II 7185, 71850I, 2009","17","2009"
"260","Gain enhancement by moving gratings in a photorefractive polymer","A Grunnet-Jepsen, CL Thompson, WE Moerner","Optics communications 145 (1-6), 145-149, 1998","17","1998"
"261","Apparatus for photorefractive two beam coupling","GC Bjorklund, DM Burland, MCJM Donckers, RD Miller, WE Moerner, ...","US Patent 5,361,148, 1994","17","1994"
"262","Infrared hole-burning spectroscopy of matrix-isolated ReO 4- molecules","AR Chraplyvy, WE Moerner, AJ Sievers","Optics letters 6 (9), 431-433, 1981","17","1981"
"263","Apparatus and method for localizing objects for distance and/or in three dimensions using a spiral point spread function","MD Lew, WE Moerner","US Patent 9,693,034, 2017","16","2017"
"264","Quantum optics, molecular spectroscopy and low-temperature spectroscopy: general discussion","M Orrit, G Evans, T Cordes, I Kratochvilova, W Moerner, LM Needham, ...","Faraday discussions 184, 275-303, 2015","16","2015"
"265","Single-molecule spectroscopy of photosynthetic proteins in solution: exploration of structure–function relationships","GS Schlau-Cohen, S Bockenhauer, Q Wang, WE Moerner","Chemical Science 5 (8), 2933-2939, 2014","16","2014"
"266","Topics in current physics","WE Moerner, W Lenth, GC Bjorklund","Persistent Spec, 1988","16","1988"
"267","Anharmonic relaxation times of molecular vibrational modes in alkali halide crystals","WE Moerner, AJ Sievers, AR Chraplyvy","Physical Review Letters 47 (15), 1082, 1981","16","1981"
"268","Quantifying transient 3D dynamical phenomena of single mRNA particles in live yeast cell measurements","CP Calderon, MA Thompson, JM Casolari, RC Paffenroth, WE Moerner","The Journal of Physical Chemistry B 117 (49), 15701-15713, 2013","15","2013"
"269","Visualization of long human telomere mimics by single-molecule fluorescence imaging","AK Pomerantz, WE Moerner, ET Kool","The Journal of Physical Chemistry B 112 (42), 13184-13187, 2008","15","2008"
"270","Dicyanomethylenedihydrofuran photorefractive materials","M He, RJ Twieg, O Ostroverkhova, UJ Gubler, D Wright, WE Moerner","Organic photorefractive and photosensitive materials for holographic …, 2002","15","2002"
"271","Photorefractive polymers-A status report","DM Burland, GC Bjorklund, WE Moerner, SM Silence, JJ Stankus","Pure and applied chemistry 67 (1), 33-38, 1995","14","1995"
"272","Polymers scale new heights","WE Moerner","Nature 371 (6497), 475, 1994","14","1994"
"273","Direct single-molecule measurements of phycocyanobilin photophysics in monomeric C-phycocyanin","AH Squires, WE Moerner","Proceedings of the National Academy of Sciences 114 (37), 9779-9784, 2017","13","2017"
"274","Determining the rotational mobility of a single molecule from a single image: a numerical study","AS Backer, WE Moerner","Optics express 23 (4), 4255-4276, 2015","13","2015"
"275","Improved transducer correction for standing-wave ultrasonic velocity measurements","HI Ringermacher, WE Moerner, JG Miller","Journal of Applied Physics 45 (2), 549-552, 1974","13","1974"
"276","Strong visible upconversion in rare earth ion-doped NaYF4 crystals","D Patel, C Vance, N King, M Jessup, L Green, S Sarkisov","Journal of Nonlinear Optical Physics & Materials 19 (02), 295-301, 2010","12","2010"
"277","Micrometer-sized DNA–Single-Fluorophore–DNA Supramolecule: Synthesis and Single-Molecule Characterization","JK Lee, F Jäckel, WE Moerner, Z Bao","Small 5 (21), 2418-2423, 2009","12","2009"
"278","Ultrasensitive Laser Spectroscopy in Solids: Statistical Fine Structure and Single-Molecule Detection","WE Moerner","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1990","12","1990"
"279","Phase-Sensitive Ultrasonic Modulation of Persistent Spectral Holes.","WE Moerner, AL Huston","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1986","12","1986"
"280","Single-molecule diffusometry reveals the nucleotide-dependent oligomerization pathways of Nicotiana tabacum Rubisco activase","Q Wang, AJ Serban, RM Wachter, WE Moerner","The Journal of chemical physics 148 (12), 123319, 2018","11","2018"
"281","Observation of live chromatin dynamics in cells via 3D localization microscopy using Tetrapod point spread functions","Y Shechtman, AK Gustavsson, PN Petrov, E Dultz, MY Lee, K Weis, ...","Biomedical optics express 8 (12), 5735-5748, 2017","11","2017"
"282","The double-helix point spread function enables precise and accurate measurement of 3D single-molecule localization and orientation","MP Backlund, MD Lew, AS Backer, SJ Sahl, G Grover, A Agrawal, ...","Single Molecule Spectroscopy and Superresolution Imaging VI 8590, 85900L, 2013","11","2013"
"283","Non-O1 Vibrio cholerae unlinked to cholera in Haiti","JJ Mekalanos, W Robins, DW Ussery, BM Davis, E Schadt, MK Waldor","Proceedings of the National Academy of Sciences 109 (47), E3206-E3206, 2012","11","2012"
"284","STED super-resolution microscopy in Drosophila tissue and in mammalian cells","L Lau, YL Lee, M Matis, J Axelrod, T Stearns, WE Moerner","Reporters, Markers, Dyes, Nanoparticles, and Molecular Probes for Biomedical …, 2011","11","2011"
"285","Optical limiting in a photorefractive polymer","A Grunnet-Jepsen, CL Thompson, WE Moerner","MRS Online Proceedings Library Archive 479, 1997","11","1997"
"286","Advances in photorefractive polymers: plastics for holography and optical processing","WE Moerner, N Peyghambarian","Optics and Photonics News 6 (3), 24-29, 1995","11","1995"
"287","Light sheet approaches for improved precision in 3D localization-based super-resolution imaging in mammalian cells","AK Gustavsson, PN Petrov, WE Moerner","Optics express 26 (10), 13122-13147, 2018","10","2018"
"288","The nobel prize in chemistry 2014","E Betzig, SW Hell, WE Moerner","Nobel Media AB, 2014","10","2014"
"289","Exploring protein superstructures and dynamics in live bacterial cells using single-molecule and superresolution imaging","JS Biteen, L Shapiro, WE Moerner","Single Molecule Analysis, 139-158, 2011","10","2011"
"290","Photochromic polymers for the optical homodyne detection of ultrasonic surface displacements","U Gubler, D Wright, WE Moerner, MB Klein","Optics letters 27 (5), 354-356, 2002","10","2002"
"291","Recent progress in photorefractive polymers: materials and structures","JJ Stankus, SM Silence, RJ Twieg, DM Burland, RD Miller, JC Scott, ...","Nonlinear Optical Properties of Organic Materials VII 2285, 204-215, 1994","10","1994"
"292","High-density frequency-domain optical recording","W Lenth, RM Macfarlane, WE Moerner, FM Schellenberg, RM Shelby, ...","Optical Mass Data Storage II 695, 216-223, 1987","10","1987"
"293","Motional dynamics of single Patched1 molecules in cilia are controlled by Hedgehog and cholesterol","LE Weiss, L Milenkovic, J Yoon, T Stearns, WE Moerner","Proceedings of the National Academy of Sciences 116 (12), 5550-5557, 2019","9","2019"
"294","Laser background characterization in a monolithically integrated bio-fluorescence sensor","EP Thrush, O Levi, LJ Cook, J Deich, SJ Smith, WE Moerner, JS Harris Jr","Advanced Biomedical and Clinical Diagnostic Systems II 5318, 59-65, 2004","9","2004"
"295","Single Molecule Spectroscopy","T Basché, WE Moerner, M Orrit, U Wild","John Wiley and Sons, 1999","9","1999"
"296","Self-similarity of fluid flows","L Wang","Applied physics letters 73 (10), 1329-1330, 1998","9","1998"
"297","Probing single molecules in polyacrylamide gels","S Kummer, RM Dickson, WE Moerner","Laser Techniques for Condensed-Phase and Biological Systems 3273, 165-173, 1998","9","1998"
"298","Single-molecule nanophotonics in solids","WE Moerner, RM Dickson, DJ Norris","Materials Science and Engineering: B 48 (1-2), 169-174, 1997","9","1997"
"299","Poled epoxy polymers for optoelectronics","JD Swalen, GC Bjorklund, W Fleming, S Herminghaus, D Jungbauer, ...","Organic molecules for nonlinear optics and photonics, 433-445, 1991","9","1991"
"300","High-resolution spectroscopy of matrix-isolated ReO 4- molecules","AR Chraplyvy, WE Moerner, AJ Sievers","Optics letters 6 (5), 254-256, 1981","9","1981"
