"","Papers","Partners","Journals","Citations","Years"
"149","Three-dimensional super-resolution with a 4Pi-confocal microscope using image restoration","M Schrader, SW Hell, HTM Van der Voort","Journal of Applied Physics 84 (8), 4033-4042, 1998","96","1998"
"150","4Pi-microscopy of the Golgi apparatus in live mammalian cells","A Egner, S Verrier, A Goroshkov, HD Söling, SW Hell","Journal of structural biology 147 (1), 70-76, 2004","95","2004"
"151","Spatial and temporal dynamics of budding yeast mitochondria lacking the division component Fis1p","S Jakobs, N Martini, AC Schauss, A Egner, B Westermann, SW Hell","Journal of cell science 116 (10), 2005-2014, 2003","95","2003"
"152","Fluorescent Rhodamines and Fluorogenic Carbopyronines for Super-Resolution STED Microscopy in Living Cells","AN Butkevich, GY Mitronova, SC Sidenstein, JL Klocke, D Kamin, ...","Angewandte Chemie International Edition 55 (10), 3290-3294, 2016","94","2016"
"153","Fluorescence Nanoscopy with Optical Sectioning by Two-Photon Induced Molecular Switching using Continuous-Wave Lasers","J Fölling, V Belov, D Riedel, A Schönle, A Egner, C Eggeling, M Bossi, ...","ChemPhysChem 9 (2), 321-326, 2008","94","2008"
"154","Quantum dot blueing and blinking enables fluorescence nanoscopy","P Hoyer, T Staudt, J Engelhardt, SW Hell","Nano letters 11 (1), 245-250, 2010","93","2010"
"155","Live cell imaging by multifocal multiphoton microscopy","M Straub, P Lodemann, P Holroyd, R Jahn, SW Hell","European journal of cell biology 79 (10), 726-734, 2000","93","2000"
"156","Birefringent device converts a standard scanning microscope into a STED microscope that also maps molecular orientation","M Reuss, J Engelhardt, SW Hell","Optics express 18 (2), 1049-1058, 2010","92","2010"
"157","4Pi-confocal imaging in fixed biological specimens","M Schrader, K Bahlmann, G Giese, SW Hell","Biophysical journal 75 (4), 1659-1668, 1998","92","1998"
"158","4Pi-confocal microscopy provides three-dimensional images of the microtubule network with 100-to 150-nm resolution","M Nagorni, SW Hell","Journal of structural biology 123 (3), 236-247, 1998","91","1998"
"159","Improvement of lateral resolution in far-field fluorescence light microscopy by using two-photon excitation with offset beams","SW Hell","Optics communications 106 (1-3), 19-24, 1994","91","1994"
"160","Nanoscopy in a living multicellular organism expressing GFP","BR Rankin, G Moneron, CA Wurm, JC Nelson, A Walter, D Schwarzer, ...","Biophysical journal 100 (12), L63-L65, 2011","90","2011"
"161","An overexpression screen of Toxoplasma gondii Rab-GTPases reveals distinct transport routes to the micronemes","K Kremer, D Kamin, E Rittweger, J Wilkes, H Flammer, S Mahler, J Heng, ...","PLoS pathogens 9 (3), e1003213, 2013","89","2013"
"162","New fluorinated rhodamines for optical microscopy and nanoscopy","GY Mitronova, VN Belov, ML Bossi, CA Wurm, L Meyer, R Medda, ...","Chemistry-A European Journal 16 (15), 4477-4488, 2010","89","2010"
"163","Photostable, Amino Reactive and Water-Soluble Fluorescent Labels Based on Sulfonated Rhodamine with a Rigidized Xanthene Fragment","VP Boyarskiy, VN Belov, R Medda, B Hein, M Bossi, SW Hell","Chemistry-A European Journal 14 (6), 1784-1792, 2008","89","2008"
"164","3D reconstruction of high-resolution STED microscope images","A Punge, SO Rizzoli, R Jahn, JD Wildanger, L Meyer, A Schönle, ...","Microscopy research and technique 71 (9), 644-650, 2008","88","2008"
"165","Time multiplexing and parallelization in multifocal multiphoton microscopy","A Egner, SW Hell","JOSA A 17 (7), 1192-1201, 2000","88","2000"
"166","Fluorogenic probes for multicolor imaging in living cells","G Lukinavic<U+030C>ius, L Reymond, K Umezawa, O Sallin, E D’Este, F Go¨ttfert, ...","Journal of the American Chemical Society 138 (30), 9365-9368, 2016","87","2016"
"167","Probing the functional equivalence of otoferlin and synaptotagmin 1 in exocytosis","E Reisinger, C Bresee, J Neef, R Nair, K Reuter, A Bulankina, R Nouvian, ...","Journal of Neuroscience 31 (13), 4886-4895, 2011","87","2011"
"168","Spectroscopic rationale for efficient stimulated-emission depletion microscopy fluorophores","J Hotta, E Fron, P Dedecker, KPF Janssen, C Li, K Mu¨llen, B Harke, ...","Journal of the American Chemical Society 132 (14), 5021-5023, 2010","87","2010"
"169","Nanoscale engineering and optical addressing of single spins in diamond","S Pezzagna, D Wildanger, P Mazarov, AD Wieck, Y Sarov, I Rangelow, ...","Small 6 (19), 2117-2121, 2010","85","2010"
"170","A STED microscope aligned by design","D Wildanger, J Bückers, V Westphal, SW Hell, L Kastrup","Optics express 17 (18), 16100-16110, 2009","85","2009"
"171","Process and device for optically measuring a point on a sample with high local resolution","S Hell, J Wichmann","US Patent 5,731,588, 1998","85","1998"
"172","Time-resolved fluorescence spectroscopy and imaging of dna labeled with DAPI and hoechst 33342 using three-photon excitation","JR LAKOWICZ, I GRYCZYNSKI, H MALAK, M SCHRADER, ...","SPIE milestone series 175, 527-538, 2003","84*","2003"
"173","Time-resolved fluorescence spectroscopy and imaging of DNA labeled with DAPI and Hoechst 33342 using three-photon excitation","JR Lakowicz, I Gryczynski, H Malak, M Schrader, P Engelhardt, H Kano, ...","Biophysical journal 72 (2), 567-578, 1997","84","1997"
"174","Continuous wave excitation two-photon fluorescence microscopy","PE Hänninen, E Soini, SW Hell","Journal of microscopy 176 (3), 222-225, 1994","83","1994"
"175","Developmental refinement of hair cell synapses tightens the coupling of Ca2+ influx to exocytosis","AB Wong, MA Rutherford, M Gabrielaitis, T Pangršic, F Göttfert, T Frank, ...","The EMBO journal 33 (3), 247-264, 2014","82","2014"
"176","Comparison of frequency-domain and time-domain fluorescence lifetime tomography","ATN Kumar, SB Raymond, BJ Bacskai, DA Boas","Optics letters 33 (5), 470-472, 2008","80","2008"
"177","Breaking the diffraction resolution barrier in far-field microscopy by molecular optical bistability","M Bossi, J Fölling, M Dyba, V Westphal, SW Hell","New journal of physics 8 (11), 275, 2006","80","2006"
"178","Z-polarized confocal microscopy","N Huse, A Schoenle, SW Hell","Journal of biomedical optics 6 (3), 273-277, 2001","80","2001"
"179","Stimulated emission depletion microscopy resolves individual nitrogen vacancy centers in diamond nanocrystals","S Arroyo-Camejo, MP Adam, M Besbes, JP Hugonin, V Jacques, ...","ACS nano 7 (12), 10912-10919, 2013","79","2013"
"180","Fluorescence depletion mechanisms in super-resolving STED microscopy","E Rittweger, BR Rankin, V Westphal, SW Hell","Chemical physics letters 442 (4-6), 483-487, 2007","79","2007"
"181","Laser-diode-stimulated emission depletion microscopy","V Westphal, CM Blanca, M Dyba, L Kastrup, SW Hell","Applied physics letters 82 (18), 3125-3127, 2003","78","2003"
"182","Luminescence-scanning microscopy process and a luminescence scanning microscope utilizing picosecond or greater pulse lasers","P Hanninen, S Hell","US Patent 5,777,732, 1998","78","1998"
"183","Hydrophobic mismatch sorts SNARE proteins into distinct membrane domains","D Milovanovic, A Honigmann, S Koike, F Göttfert, G Pähler, M Junius, ...","Nature communications 6, 5984, 2015","75","2015"
"184","The Bruchpilot cytomatrix determines the size of the readily releasable pool of synaptic vesicles","T Matkovic, M Siebert, E Knoche, H Depner, S Mertel, D Owald, ...","J Cell Biol 202 (4), 667-683, 2013","74","2013"
"185","STED with wavelengths closer to the emission maximum","G Vicidomini, G Moneron, C Eggeling, E Rittweger, SW Hell","Optics express 20 (5), 5225-5236, 2012","74","2012"
"186","Time-multiplexed multifocal multiphoton microscope","V Andresen, A Egner, SW Hell","Optics letters 26 (2), 75-77, 2001","74","2001"
"187","Cortical actin networks induce spatio-temporal confinement of phospholipids in the plasma membrane–a minimally invasive investigation by STED-FCS","DM Andrade, MP Clausen, J Keller, V Mueller, C Wu, JE Bear, SW Hell, ...","Scientific reports 5, 11454, 2015","73","2015"
"188","Novel red fluorophores with superior performance in STED microscopy","CA Wurm, K Kolmakov, F Göttfert, H Ta, M Bossi, H Schill, S Berning, ...","Optical Nanoscopy 1 (1), 7, 2012","73","2012"
"189","Exploring single-molecule dynamics with fluorescence nanoscopy","C Ringemann, B Harke, C Von Middendorff, R Medda, A Honigmann, ...","New Journal of Physics 11 (10), 103054, 2009","73","2009"
"190","Aberrations in confocal and multi-photon fluorescence microscopy induced by refractive index mismatch","A Egner, SW Hell","Handbook of biological confocal microscopy, 404-413, 2006","73","2006"
"191","Fluorescent photoswitchable diarylethenes for biolabeling and single-molecule localization microscopies with optical superresolution","B Roubinet, M Weber, H Shojaei, M Bates, ML Bossi, VN Belov, M Irie, ...","Journal of the American Chemical Society 139 (19), 6611-6620, 2017","72","2017"
"192","Regulation of endothelial barrier function during flow-induced conversion to an arterial phenotype","J Seebach, G Donnert, R Kronstein, S Werth, B Wojciak-Stothard, ...","Cardiovascular research 75 (3), 598-607, 2007","72","2007"
"193","4Pi-confocal microscopy of live cells","K Bahlmann, S Jakobs, SW Hell","Ultramicroscopy 87 (3), 155-164, 2001","72","2001"
"194","Depolarization by high aperture focusing","K Bahlmann, SW Hell","Applied Physics Letters 77 (5), 612-614, 2000","72","2000"
"195","Multifocal multiphoton microscopy: A fast and efficient tool for 3-D fluorescence imaging","M Straub, SW Hell","Bioimaging 6 (4), 177-185, 1998","71","1998"
"196","4Pi-confocal images with axial superresolution","M Schrader, SW Hell","Journal of Microscopy 183 (2), 110-115, 1996","71","1996"
"197","Subcortical cytoskeleton periodicity throughout the nervous system","E D’Este, D Kamin, C Velte, F Göttfert, M Simons, SW Hell","Scientific reports 6, 22741, 2016","70","2016"
"198","Isotropic 3D nanoscopy based on single emitter switching","C Middendorff, A Egner, C Geisler, SW Hell, A Schönle","Optics express 16 (25), 20774-20788, 2008","70","2008"
"199","1, 3-Bicyclo [1.1. 1] pentanediyl: The Shortest Rigid Linear Connector of Phenylated Photochromic Units and a 1, 5-Dimethoxy-9, 10-di (phenylethynyl) anthracene Fluorophore","A de Meijere, L Zhao, VN Belov, M Bossi, M Noltemeyer, SW Hell","Chemistry-A European Journal 13 (9), 2503-2516, 2007","70","2007"
"200","Ultrafast, temporally stochastic STED nanoscopy of millisecond dynamics","J Schneider, J Zahn, M Maglione, SJ Sigrist, J Marquard, J Chojnacki, ...","nature methods 12 (9), 827, 2015","69","2015"
"201","Super-resolution microscopy: breaking the limits","KR Chi","Nature Methods 6 (1), 15, 2009","68","2009"
"202","Active zone scaffolds differentially accumulate Unc13 isoforms to tune Ca2+ channel–vesicle coupling","MA Böhme, C Beis, S Reddy-Alla, E Reynolds, MM Mampell, ...","Nature neuroscience 19 (10), 1311, 2016","67","2016"
"203","Annular aperture two-photon excitation microscopy","SW Hell, PE Hänninen, A Kuusisto, M Schrader, E Soini","Optics communications 117 (1-2), 20-24, 1995","67","1995"
"204","Equivalence of the Huygens–Fresnel and Debye approach for the calculation of high aperture point-spread functions in the presence of refractive index mismatch","A Egner, SW Hell","Journal of Microscopy 193 (3), 244-249, 1999","66","1999"
"205","Munc18-1 tuning of vesicle merger and fusion pore properties","J Jorgacevski, M Potokar, S Grilc, M Kreft, W Liu, JW Barclay, J Bückers, ...","Journal of Neuroscience 31 (24), 9055-9066, 2011","65","2011"
"206","Refractive index mismatch induced intensity and phase variations in fluorescence confocal, multiphoton and 4Pi-microscopy","A Egner, M Schrader, SW Hell","Optics communications 153 (4-6), 211-217, 1998","65","1998"
"207","Fluorescent dyes with large Stokes shifts for super-resolution optical microscopy of biological objects: a review","MV Sednev, VN Belov, SW Hell","Methods and Applications in Fluorescence 3 (4), 042004, 2015","64","2015"
"208","Fluorescence resonance energy transfer analysis of protein–protein interactions in single living cells by multifocal multiphoton microscopy","I Majoul, M Straub, R Duden, SW Hell, HD Söling","Reviews in Molecular Biotechnology 82 (3), 267-277, 2002","64","2002"
"209","Dysregulated expression of neuregulin-1 by cortical pyramidal neurons disrupts synaptic plasticity","A Agarwal, M Zhang, I Trembak-Duff, T Unterbarnscheidt, K Radyushkin, ...","Cell reports 8 (4), 1130-1145, 2014","63","2014"
"210","Dynamic far-field fluorescence nanoscopy","V Westphal, MA Lauterbach, A Di Nicola, SW Hell","New Journal of Physics 9 (12), 435, 2007","63","2007"
"211","Uniquantal release through a dynamic fusion pore is a candidate mechanism of hair cell exocytosis","NM Chapochnikov, H Takago, CH Huang, T Pangršic, D Khimich, J Neef, ...","Neuron 83 (6), 1389-1403, 2014","62","2014"
"212","Enhancing fluorescence brightness: effect of reverse intersystem crossing studied by fluorescence fluctuation spectroscopy","C Ringemann, A Schoenle, A Giske, C von Middendorff, SW Hell, ...","ChemPhysChem 9 (4), 612-624, 2008","62","2008"
"213","Four-dimensional multiphoton microscopy with time-correlated single-photon counting","A Schönle, M Glatz, SW Hell","Applied optics 39 (34), 6306-6311, 2000","62","2000"
"214","Continuous wave excitation two-photon fluorescence microscopy exemplified with the 647-nm ArKr laser line.","MJ Booth, SW Hell","Journal of microscopy 190 (Pt 3), 298-304, 1998","61","1998"
"215","Potential of confocal microscopes to resolve in the 50–100 nm range","M Schrader, SW Hell, HTM Van der Voort","Applied physics letters 69 (24), 3644-3646, 1996","61","1996"
"216","Stimulated-emission-depletion microscopy with a multicolor stimulated-Raman-scattering light source","BR Rankin, RR Kellner, SW Hell","Optics letters 33 (21), 2491-2493, 2008","60","2008"
"217","Carboxylated Photoswitchable Diarylethenes for Biolabeling and Super-Resolution RESOLFT Microscopy","B Roubinet, ML Bossi, P Alt, M Leutenegger, H Shojaei, S Schnorrenberg, ...","Angewandte Chemie International Edition 55 (49), 15429-15433, 2016","58","2016"
"218","Multicolour multilevel STED nanoscopy of actin/spectrin organization at synapses","SC Sidenstein, E D’Este, MJ Böhm, JG Danzl, VN Belov, SW Hell","Scientific reports 6, 26725, 2016","58","2016"
"219","4-Trifluoromethyl-Substituted Coumarins with Large Stokes Shifts: Synthesis, Bioconjugates, and Their Use in Super-Resolution Fluorescence Microscopy","H Schill, S Nizamov, F Bottanelli, J Bierwagen, VN Belov, SW Hell","Chemistry-A European Journal 19 (49), 16556-16565, 2013","58","2013"
"220","Molecular basis of the light-driven switching of the photochromic fluorescent protein Padron","T Brakemann, G Weber, M Andresen, G Groenhof, AC Stiel, S Trowitzsch, ...","Journal of Biological Chemistry 285 (19), 14603-14609, 2010","58","2010"
"221","Nanoscopy of filamentous actin in cortical dendrites of a living mouse","KI Willig, H Steffens, C Gregor, A Herholt, MJ Rossner, SW Hell","Biophysical journal 106 (1), L01-L03, 2014","57","2014"
"222","High-and low-mobility stages in the synaptic vesicle cycle","D Kamin, MA Lauterbach, V Westphal, J Keller, A Schönle, SW Hell, ...","Biophysical journal 99 (2), 675-684, 2010","57","2010"
"223","Strong signal increase in STED fluorescence microscopy by imaging regions of subdiffraction extent","F Göttfert, T Pleiner, J Heine, V Westphal, D Görlich, SJ Sahl, SW Hell","Proceedings of the National Academy of Sciences 114 (9), 2125-2130, 2017","56","2017"
"224","2000-fold parallelized dual-color STED fluorescence nanoscopy","F Bergermann, L Alber, SJ Sahl, J Engelhardt, SW Hell","Optics express 23 (1), 211-223, 2015","56","2015"
"225","High spatial resoulution imaging and modification of structures","S Hell","US Patent 7,064,824, 2006","56","2006"
"226","High spatial resoulution imaging and modification of structures","S Hell","US Patent App. 10/420,896, 2004","56","2004"
"227","Lens aberrations in confocal fluorescence microscopy","SW Hell, EHK Stelzer","Handbook of Biological Confocal Microscopy, 347-354, 1995","56","1995"
"228","Sted-flcs: An advanced tool to reveal spatiotemporal heterogeneity of molecular membrane dynamics","G Vicidomini, H Ta, A Honigmann, V Mueller, MP Clausen, D Waithe, ...","Nano letters 15 (9), 5912-5918, 2015","55","2015"
"229","Dual-label STED nanoscopy of living cells using photochromism","KI Willig, AC Stiel, T Brakemann, S Jakobs, SW Hell","Nano letters 11 (9), 3970-3973, 2011","54","2011"
"230","Phase filter enhanced STED-4Pi fluorescence microscopy: theory and experiment","M Dyba, J Keller, SW Hell","New Journal of Physics 7 (1), 134, 2005","54","2005"
"231","Refractive-index-induced aberrations in two-photon confocal fluorescence microscopy","H Jacobsen, P Hänninen, E Soini, SW Hell","Journal of Microscopy 176 (3), 226-230, 1994","54","1994"
"232","Coordinate-targeted fluorescence nanoscopy with multiple off states","JG Danzl, SC Sidenstein, C Gregor, NT Urban, P Ilgen, S Jakobs, SW Hell","Nature Photonics 10 (2), 122, 2016","53","2016"
"233","Drift estimation for single marker switching based imaging schemes","C Geisler, T Hotz, A Schönle, SW Hell, A Munk, A Egner","Optics express 20 (7), 7274-7289, 2012","53","2012"
"234","Axial superresolution with ultrahigh aperture lenses","C Blanca, S Hell","Optics express 10 (17), 893-898, 2002","53","2002"
"235","Subresolution axial distance measurements in far-field fluorescence microscopy with precision of 1 nanometer","M Schmidt, M Nagorni, SW Hell","Review of Scientific Instruments 71 (7), 2742-2745, 2000","53","2000"
"236","Polar red-emitting rhodamine dyes with reactive groups: synthesis, photophysical properties, and two-color STED nanoscopy applications","K Kolmakov, CA Wurm, DNH Meineke, F Göttfert, VP Boyarskiy, VN Belov, ...","Chemistry-A European Journal 20 (1), 146-157, 2014","52","2014"
"237","Fluorescence correlation spectroscopy with a total internal reflection fluorescence STED microscope (TIRF-STED-FCS)","M Leutenegger, C Ringemann, T Lasser, SW Hell, C Eggeling","Optics express 20 (5), 5243-5263, 2012","52","2012"
"238","Far-field optical nanoscopy with reduced number of state transition cycles","T Staudt, A Engler, E Rittweger, B Harke, J Engelhardt, SW Hell","Optics express 19 (6), 5644-5657, 2011","52","2011"
"239","Ultrathin fluorescent layers for monitoring the axial resolution in confocal and two-photon fluorescence microscopy.","M Schrader, UG Hofmann, SW Hell","Journal of microscopy 191, 135-140, 1998","52","1998"
"240","Distinct subsets of Syt-IV/BDNF vesicles are sorted to axons versus dendrites and recruited to synapses by activity","C Dean, H Liu, T Staudt, MA Stahlberg, S Vingill, J Bückers, D Kamin, ...","Journal of Neuroscience 32 (16), 5398-5413, 2012","51","2012"
"241","Triplet-relaxation microscopy with bunched pulsed excitation","G Donnert, C Eggeling, SW Hell","Photochemical & Photobiological Sciences 8 (4), 481-485, 2009","51","2009"
"242","Glyoxal as an alternative fixative to formaldehyde in immunostaining and super-resolution microscopy","KN Richter, NH Revelo, KJ Seitz, MS Helm, D Sarkar, RS Saleeb, ...","The EMBO journal 37 (1), 139-159, 2018","49","2018"
"243","Picosecond pulsed two-photon imaging with repetition rates of 200 and 400 MHz","J Bewersdorf, SW Hell","Journal of microscopy 191 (1), 28-38, 1998","49","1998"
"244","Adaptive-illumination STED nanoscopy","J Heine, M Reuss, B Harke, E D’Este, SJ Sahl, SW Hell","Proceedings of the National Academy of Sciences 114 (37), 9797-9802, 2017","48","2017"
"245","Diffraction unlimited all-optical recording of electron spin resonances","D Wildanger, JR Maze, SW Hell","Physical review letters 107 (1), 017601, 2011","48","2011"
"246","Nanoscale separation of molecular species based on their rotational mobility","I Testa, A Schönle, C Middendorff, C Geisler, R Medda, CA Wurm, ...","Optics express 16 (25), 21093-21104, 2008","48","2008"
"247","Laser scanner for direct writing lithography","C Rensch, S Hell, M Schickfus, S Hunklinger","Applied optics 28 (17), 3754-3758, 1989","48","1989"
"248","Ultrastructural anatomy of nodes of Ranvier in the peripheral nervous system as revealed by STED microscopy","E D’Este, D Kamin, F Balzarotti, SW Hell","Proceedings of the National Academy of Sciences 114 (2), E191-E199, 2017","47","2017"
"249","Stimulated emission depletion microscopy on lithographic nanostructures","V Westphal, J Seeger, T Salditt, SW Hell","Journal of Physics B: Atomic, Molecular and Optical Physics 38 (9), S695, 2005","47","2005"
"250","Influence of substrate properties on the topochemical polymerization of diacetylene monolayers","DW Britt, UG Hofmann, D Möbius, SW Hell","Langmuir 17 (12), 3757-3765, 2001","47","2001"
"251","Stimulated emission depletion microscopy with an offset depleting beam","TA Klar, M Dyba, SW Hell","Applied Physics Letters 78 (4), 393-395, 2001","47","2001"
"252","Nonlinear fluorescence through intermolecular energy transfer and resolution increase in fluorescence microscopy","A Schönle, PE Hänninen, SW Hell","Annalen der Physik 8 (2), 115-133, 1999","47","1999"
"253","Three-photon-excitation microscopy: theory, experiment and applications","M Schrader, K Bahlmann, SW Hell","Optik 104 (3), 116-124, 1997","47","1997"
"254","Masked Rhodamine Dyes of Five Principal Colors Revealed by Photolysis of a 2-Diazo-1-Indanone Caging Group: Synthesis, Photophysics, and Light Microscopy Applications","VN Belov, GY Mitronova, ML Bossi, VP Boyarskiy, E Hebisch, C Geisler, ...","Chemistry-A European Journal 20 (41), 13162-13173, 2014","46","2014"
"255","High spatial resolution imaging","S Hell","US Patent 7,430,045, 2008","46","2008"
"256","High spatial resolution imaging","S Hell","US Patent App. 11/249,098, 2006","46","2006"
"257","Breaking the diffraction limit of light-sheet fluorescence microscopy by RESOLFT","P Hoyer, G de Medeiros, B Balázs, N Norlin, C Besir, J Hanne, ...","Proceedings of the National Academy of Sciences 113 (13), 3442-3446, 2016","45","2016"
"258","A Versatile Route to Red-Emitting Carbopyronine Dyes for Optical Microscopy and Nanoscopy","K Kolmakov, VN Belov, CA Wurm, B Harke, M Leutenegger, C Eggeling, ...","European Journal of Organic Chemistry 2010 (19), 3593-3610, 2010","45","2010"
"259","Absolute optical cross section of individual fluorescent molecules","L Kastrup, SW Hell","Angewandte Chemie International Edition 43 (48), 6646-6649, 2004","45","2004"
"260","Photoconversion of matrix targeted GFP enables analysis of continuity and intermixing of the mitochondrial lumen","S Jakobs, AC Schauss, SW Hell","FEBS letters 554 (1-2), 194-200, 2003","45","2003"
"261","Monitoring the excited state of a fluorophore in a microscope by stimulated emission","M Schrader, F Meinecke, K Bahlmann, M Kroug, C Cremer, E Soini, ...","Bioimaging 3 (4), 147-153, 1995","45","1995"
"262","Phosphorylated 3-Heteroarylcoumarins and Their Use in Fluorescence Microscopy and Nanoscopy","S Nizamov, KI Willig, MV Sednev, VN Belov, SW Hell","Chemistry-A European Journal 18 (51), 16339-16348, 2012","44","2012"
"263","Red-Emitting Rhodamines with Hydroxylated, Sulfonated, and Phosphorylated Dye Residues and Their Use in Fluorescence Nanoscopy","K Kolmakov, CA Wurm, R Hennig, E Rapp, S Jakobs, VN Belov, SW Hell","Chemistry-A European Journal 18 (41), 12986-12998, 2012","44","2012"
"264","Fluorescence nanoscopy of single DNA molecules by using stimulated emission depletion (STED)","F Persson, P Bingen, T Staudt, J Engelhardt, JO Tegenfeldt, SW Hell","Angewandte Chemie International Edition 50 (24), 5581-5583, 2011","44","2011"
"265","Coherent use of opposing lenses for axial resolution increase. II. Power and limitation of nonlinear image restoration","M Nagorni, SW Hell","JOSA A 18 (1), 49-54, 2001","44","2001"
"266","Biological dose estimation of UVA laser microirradiation utilizing charged particle-induced protein foci","J Splinter, B Jakob, M Lang, K Yano, J Engelhardt, SW Hell, DJ Chen, ...","Mutagenesis 25 (3), 289-297, 2010","43","2010"
"267","Scanning microscope in which a sample is simultaneously and optically excited at various points","S Hell, J Bewersdorf, R Pick","US Patent 6,262,423, 2001","43","2001"
"268","Two-Color RESOLFT Nanoscopy with Green and Red Fluorescent Photochromic Proteins","F Lavoie-Cardinal, NA Jensen, V Westphal, AC Stiel, A Chmyrov, ...","ChemPhysChem 15 (4), 655-663, 2014","42","2014"
"269","A new high-aperture glycerol immersion objective lens and its application to 3D-fluorescence microscopy","N Martini, J Bewersdorf, SW Hell","Journal of Microscopy 206 (2), 146-151, 2002","42","2002"
"270","STED microscopy with a MHz pulsed stimulated-Raman-scattering source","BR Rankin, SW Hell","Optics express 17 (18), 15679-15684, 2009","41","2009"
"271","Femtosecond pulse broadening in the focal region of a two-photon fluorescence microscope","PE Hänninen, SW Hell","Bioimaging 2 (3), 117-121, 1994","41","1994"
"272","Block copolymer nanostructures mapped by far-field optics","CK Ullal, R Schmidt, SW Hell, A Egner","Nano letters 9 (6), 2497-2500, 2009","39","2009"
"273","Fluorescence nanoscopy goes multicolor","A Schönle, SW Hell","Nature biotechnology 25 (11), 1234, 2007","39","2007"
"274","Avalanche photodiode detection with object scanning and image restoration provides 2–4 fold resolution increase in two-photon fluorescence microscopy","H Kano, HTM Voort, M Schrader, GMP Kempen, SW Hell","Bioimaging 4 (3), 187-197, 1996","39","1996"
"275","Effect of the specimen refractive index on the imaging of a confocal fluorescence microscope employing high aperture oil immersion lenses","H Jacobsen, SW Hell","Bioimaging 3 (1), 39-47, 1995","39","1995"
"276","Dual-color 4Pi-confocal microscopy with 3D-resolution in the 100 nm range","H Kano, S Jakobs, M Nagorni, SW Hell","Ultramicroscopy 90 (2-3), 207-213, 2002","38","2002"
"277","Single sharp spot in fluorescence microscopy of two opposing lenses","CM Blanca, J Bewersdorf, SW Hell","Applied Physics Letters 79 (15), 2321-2323, 2001","38","2001"
"278","Masked red-emitting carbopyronine dyes with photosensitive 2-diazo-1-indanone caging group","K Kolmakov, C Wurm, MV Sednev, ML Bossi, VN Belov, SW Hell","Photochemical & Photobiological Sciences 11 (3), 522-532, 2012","37","2012"
"279","STED nanoscopy with mass-produced laser diodes","S Schrof, T Staudt, E Rittweger, N Wittenmayer, T Dresbach, J Engelhardt, ...","Optics express 19 (9), 8066-8072, 2011","37","2011"
"280","Two-and multiphoton excitation of conjugate-dyes using a continuous wave laser","PE Hänninen, L Lehtelä, SW Hell","Optics communications 130 (1-3), 29-33, 1996","37","1996"
"281","Rab3-interacting molecules 2a and 2ß promote the abundance of voltage-gated CaV1. 3 Ca2+ channels at hair cell active zones","S Jung, T Oshima-Takago, R Chakrabarti, AB Wong, Z Jing, ...","Proceedings of the National Academy of Sciences 112 (24), E3141-E3149, 2015","36","2015"
"282","A STED microscope designed for routine biomedical applications.","F Görlitz, P Hoyer, H Falk, L Kastrup, J Engelhardt, SW Hell","Progress In Electromagnetics Research 147, 57-68, 2014","36","2014"
"283","High spatial resolution imaging of a structure of interest in a specimen","S Hell, C Eggeling, A Egner, J Fölling, A Schönle, M Bossi","US Patent 7,880,150, 2011","36","2011"
"284","High spatial resolution imaging of a structure of interest in a specimen","S Hell, C Eggeling, A Egner, J Folling, A Schonle, M Bossi","US Patent App. 12/128,948, 2009","36","2009"
"285","Primer: fluorescence imaging under the diffraction limit","D Evanko","nature methods 6 (1), 19, 2009","36","2009"
"286","4Pi microscopy with linear fluorescence excitation","MC Lang, J Engelhardt, SW Hell","Optics letters 32 (3), 259-261, 2007","36","2007"
"287","Creating <U+03BB>/3 focal holes with a Mach–Zehnder interferometer","E Engel, N Huse, TA Klar, SW Hell","Applied Physics B 77 (1), 11-17, 2003","36","2003"
"288","Space-multiplexed multifocal nonlinear microscopy","SW Hell, V Andresen","Journal of microscopy 202 (3), 457-463, 2001","35","2001"
"289","Mapping molecules in scanning far-field fluorescence nanoscopy","H Ta, J Keller, M Haltmeier, SK Saka, J Schmied, F Opazo, P Tinnefeld, ...","Nature communications 6, 7977, 2015","34","2015"
"290","Comparing video-rate STED nanoscopy and confocal microscopy of living neurons","MA Lauterbach, J Keller, A Schönle, D Kamin, V Westphal, SO Rizzoli, ...","Journal of biophotonics 3 (7), 417-424, 2010","34","2010"
"291","4Pi microscopy of quantum dot-labeled cellular structures","R Medda, S Jakobs, SW Hell, J Bewersdorf","Journal of structural biology 156 (3), 517-523, 2006","34","2006"
"292","Electric field depolarization in high aperture focusing with emphasis on annular apertures","K Bahlmann, SW Hell","Journal of microscopy 200 (1), 59-67, 2000","34","2000"
"293","Ultrafast dynamics microscopy","M Dyba, TA Klar, S Jakobs, SW Hell","Applied Physics Letters 77 (4), 597-599, 2000","34","2000"
"294","Two-and multiphoton detection as an imaging mode and means of increasing the resolution in far-field light microscopy: A study based on photon-optics","SW Hell, J Soukka, PE Hänninen","Bioimaging 3 (2), 64-69, 1995","34","1995"
"295","New GM1 ganglioside derivatives for selective single and double labelling of the natural glycosphingolipid skeleton","SM Polyakova, VN Belov, SF Yan, C Eggeling, C Ringemann, ...","European Journal of Organic Chemistry 2009 (30), 5162-5177, 2009","33","2009"
